year,population
1960,6635230
1961,6848295
1962,7071971
1963,7300116
1964,7524472
1965,7739473
1966,7941412
1967,8132803
1968,8321770
1969,8520015
1970,8735495
1971,8973244
1972,9229631
1973,9493556
1974,9749104
1975,9985946
1976,10199165
1977,10395452
1978,10590261
1979,10805314
1980,11056116
1981,11348289
1982,11676823
1983,12033575
1984,12405660
1985,12783613
1986,13164837
1987,13552021
1988,13947042
1989,14353410
1990,14773277
1991,15207367
1992,15653336
1993,16106765
1994,16561674
1995,17014057
1996,17462496
1997,17908985
1998,18357156
1999,18812359
2000,19278856
2001,19756928
2002,20246381
2003,20750299
2004,21272323
2005,21814642
2006,22379055
2007,22963946
2008,23563825
2009,24170940
2010,24779619
2011,25387710
2012,25996449
2013,26607642
2014,27224472
2015,27849205
2016,28481946
2017,29121471
2018,29767108
2019,30417856
